"name","reviews","cusine","rating","price_range","url"
"Smith & Wollensky - Boston Atlantic Wharf","412","American, Steakhouse","40","$$$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d2425427-Reviews-Smith_Wollensky_Boston_Atlantic_Wharf-Boston_Massachusetts.html"
"Mario's Restaurant","226","Italian","50","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d323363-Reviews-Mario_s_Restaurant-Boston_Massachusetts.html"
"Italian Express Pizzeria","817","Italian, Pizza","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d1954989-Reviews-Italian_Express_Pizzeria-Boston_Massachusetts.html"
"Ma Maison","190","French, European","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d8463644-Reviews-Ma_Maison-Boston_Massachusetts.html"
"Ostra","976","Seafood","45","$$$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d5572598-Reviews-Ostra-Boston_Massachusetts.html"
"SRV Restaurant","237","Italian, European","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d9778587-Reviews-SRV_Restaurant-Boston_Massachusetts.html"
"Saltie Girl","249","American, Seafood","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d10480393-Reviews-Saltie_Girl-Boston_Massachusetts.html"
"The Capital Grille","1122","American, Steakhouse","45","$$$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d322311-Reviews-The_Capital_Grille-Boston_Massachusetts.html"
"Mistral","1019","French, European","45","$$$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d321911-Reviews-Mistral-Boston_Massachusetts.html"
"Carlo's Cucina Italiana","204","Italian","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d323083-Reviews-Carlo_s_Cucina_Italiana-Boston_Massachusetts.html"
"North Street Grille","420","American","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d321874-Reviews-North_Street_Grille-Boston_Massachusetts.html"
"Mamma Maria","1154","Italian, Contemporary","45","$$$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d322986-Reviews-Mamma_Maria-Boston_Massachusetts.html"
"Regina Pizzeria","2661","Italian, Pizza","45","$","https://www.tripadvisor.com/Restaurant_Review-g60745-d322981-Reviews-Regina_Pizzeria-Boston_Massachusetts.html"
"Sorellina","780","Italian","45","$$$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d605870-Reviews-Sorellina-Boston_Massachusetts.html"
"O Ya","309","Japanese, Sushi","45","$$$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d802390-Reviews-O_Ya-Boston_Massachusetts.html"
"Shabu-Zen","205","Japanese, Asian","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d321594-Reviews-Shabu_Zen-Boston_Massachusetts.html"
"Mike's City Diner","311","American, Diner","45","$","https://www.tripadvisor.com/Restaurant_Review-g60745-d322312-Reviews-Mike_s_City_Diner-Boston_Massachusetts.html"
"Locale Boston","140","Italian, Pizza","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d5452431-Reviews-Locale_Boston-Boston_Massachusetts.html"
"Rino's Place","582","Italian, Asian","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d323225-Reviews-Rino_s_Place-Boston_Massachusetts.html"
"Atlantic Fish Company","4568","American, Seafood","45","$$$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d321906-Reviews-Atlantic_Fish_Company-Boston_Massachusetts.html"
"Davio's","736","Italian, American","45","$$$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d321978-Reviews-Davio_s-Boston_Massachusetts.html"
"Delfino Restaurant","169","Italian","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d323395-Reviews-Delfino_Restaurant-Boston_Massachusetts.html"
"Bostonia Public House","1024","Wine Bar, American","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d6641547-Reviews-Bostonia_Public_House-Boston_Massachusetts.html"
"Theo's Cozy Corner Restaurant","301","American, Cafe","45","$","https://www.tripadvisor.com/Restaurant_Review-g60745-d323014-Reviews-Theo_s_Cozy_Corner_Restaurant-Boston_Massachusetts.html"
"The Friendly Toast","629","American","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d10041455-Reviews-The_Friendly_Toast-Boston_Massachusetts.html"
"Parish Cafe","896","American, Bar","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d321924-Reviews-Parish_Cafe-Boston_Massachusetts.html"
"Barcelona Wine Bar","431","Mediterranean, European","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d7270210-Reviews-Barcelona_Wine_Bar-Boston_Massachusetts.html"
"The Q Restaurant","420","Chinese, Sushi","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d2285799-Reviews-The_Q_Restaurant-Boston_Massachusetts.html"
"Brewer's Fork","156","Bar, Pizza","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d7799157-Reviews-Brewer_s_Fork-Boston_Massachusetts.html"
"La Summa Cucina Italiana","431","Italian, Asian","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d322999-Reviews-La_Summa_Cucina_Italiana-Boston_Massachusetts.html"
"Picco Restaurant","304","Italian, Pizza","45","$$ - $$$","https://www.tripadvisor.com/Restaurant_Review-g60745-d537940-Reviews-Picco_Restaurant-Boston_Massachusetts.html"
